instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange,INECODE
NSE_EQ|INE600L01024,11654,LALPATHLAB,DR. LAL PATH LABS LTD.,3177.2,,,0.1,1,EQUITY,,NSE_EQ,INE600L01024
NSE_EQ|INE083A01026,2259,MOREPENLAB,MOREPEN LAB. LTD,57.78,,,0.01,1,EQUITY,,NSE_EQ,INE083A01026
NSE_EQ|INE088F01024,9741,PARADEEP,PARADEEP PHOSPHATES LTD,217.8,,,0.01,1,EQUITY,,NSE_EQ,INE088F01024
NSE_EQ|INE06ZD01017,758002,SHANTIGOLD,SHANTI GOLD INTERNATION L,229.38,,,0.01,1,EQUITY,,NSE_EQ,INE06ZD01017
NSE_EQ|INE302A01020,676,EXIDEIND,EXIDE INDUSTRIES LTD,379.25,,,0.05,1,EQUITY,,NSE_EQ,INE302A01020
NSE_EQ|INE530B07286,13850,IIFLZC26A,SEC RE NCD 0% SR.IV,1229.85,,,0.01,1,EQUITY,,NSE_EQ,INE530B07286
NSE_EQ|INF204KB15V2,19084,ITBEES,NIP IND ETF IT,37.87,,,0.01,1,EQUITY,,NSE_EQ,INF204KB15V2
NSE_EQ|INE046A01015,2912,RIIL,RELIANCE INDUSTRIAL INFRA,854.1,,,0.05,1,EQUITY,,NSE_EQ,INE046A01015
NSE_EQ|INF204KC1030,3172,GILT5YBEES,RELCAPAMC - NETFGILT5Y,62.7,,,0.01,1,EQUITY,,NSE_EQ,INF204KC1030
NSE_EQ|INE801V01019,6568,LAXMICOT,LAXMI COTSPIN LIMITED,26.62,,,0.01,1,EQUITY,,NSE_EQ,INE801V01019
NSE_EQ|INF204KC1022,3022,SDL26BEES,RELCAPAMC-NETFSDL26,131.99,,,0.01,1,EQUITY,,NSE_EQ,INF204KC1022
NSE_EQ|INE530B07260,13854,9IIFL28A,SEC RE NCD 9% SR.VI,1014,,,0.01,1,EQUITY,,NSE_EQ,INE530B07260
NSE_EQ|INE134E01011,14299,PFC,POWER FIN CORP LTD.,403.85,,,0.05,1,EQUITY,,NSE_EQ,INE134E01011
NSE_EQ|INE530B07278,13858,IIFLZC28A,SEC RE NCD 0% SR.VII,1220,,,0.01,1,EQUITY,,NSE_EQ,INE530B07278
NSE_EQ|INF204KC1089,4973,PHARMABEES,NIPPONAMC - NETFPHARMA,22.62,,,0.01,1,EQUITY,,NSE_EQ,INF204KC1089
NSE_EQ|INE586G01017,11581,GULFPETRO,GP PETROLEUMS LIMITED,41.39,,,0.01,1,EQUITY,,NSE_EQ,INE586G01017
NSE_EQ|INE0KCE01017,25162,EUREKAFORB,EUREKA FORBES LIMITED,572.3,,,0.05,1,EQUITY,,NSE_EQ,INE0KCE01017
